STAT_CODE,STAT_NAME,CYCLE,FULL_PATH
901Y093,유형별 주택매매가격지수(기준월: 2021.06),M,물가 > 부동산 가격지수 > 유형별 주택가격지수 > 유형별 주택매매가격지수 > 유형별 주택매매가격지수(기준월: 2021.06)
901Y114,유형별 주택전세가격지수(기준월: 2025.03),M,물가 > 부동산 가격지수 > 유형별 주택가격지수 > 유형별 주택전세가격지수 > 유형별 주택전세가격지수(기준월: 2025.03)
901Y094,유형별 주택전세가격지수(기준월: 2021.06),M,물가 > 부동산 가격지수 > 유형별 주택가격지수 > 유형별 주택전세가격지수 > 유형별 주택전세가격지수(기준월: 2021.06)
901Y115,유형별 주택월세통합가격지수(기준월: 2025.03),M,물가 > 부동산 가격지수 > 유형별 주택가격지수 > 유형별 주택월세통합가격지수 > 유형별 주택월세통합가격지수(기준월: 2025.03)
901Y095,유형별 주택월세통합가격지수(기준월: 2021.06),M,물가 > 부동산 가격지수 > 유형별 주택가격지수 > 유형별 주택월세통합가격지수 > 유형별 주택월세통합가격지수(기준월: 2021.06)
901Y089,아파트 매매 실거래가격지수,M,물가 > 부동산 가격지수 > 아파트 매매 실거래가격지수
901Y096,상권별 오피스임대가격지수,Q,물가 > 부동산 가격지수 > 상권별 임대가격지수 > 상권별 오피스임대가격지수
901Y097,상권별 중대형 상가 임대가격지수,Q,물가 > 부동산 가격지수 > 상권별 임대가격지수 > 상권별 중대형 상가 임대가격지수
501Y005,"성장성 지표(제11차 한국표준산업분류, 2009~)",A,"기업경영분석 > 기업경영분석지표(연) > 성장성 지표 > 성장성 지표(제11차 한국표준산업분류, 2009~)"
501Y019,"성장성 지표(중소기업기본법, 2015~2016)",A,"기업경영분석 > 기업경영분석지표(연) > 성장성 지표 > 성장성 지표(중소기업기본법, 2015~2016)"
501Y020,"성장성 지표(조세특례제한법, 2009~2014)",A,"기업경영분석 > 기업경영분석지표(연) > 성장성 지표 > 성장성 지표(조세특례제한법, 2009~2014)"
